words,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instruction_key.started,Instructions.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,Fixation.started,wordtext.started,Fixation.stopped,wordtext.stopped,Recall.started,recall_key.started,recall_instructions.started,recall_textbox.started,recall_instructions.stopped,Recall.stopped,recall_textbox.text,recall_key.keys,recall_key.corr,recall_key.rt,recall_key.duration,EndScreen.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.003236199961975217,0.008042400004342198,0.008042400004342198,2.0562328998930752,space,1.8807401000522077,None,,,,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
responsibility,long,0,0,0,3,,,,,2.0734808000270277,,,,,,,,,2.0660736998543143,3.066457799868658,5.063673299970105,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
stone,short,0,1,1,18,,,,,5.079961400013417,,,,,,,,,5.0648286999203265,6.0616406998597085,8.058937799884006,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
enlightenment,long,0,2,2,17,,,,,8.074996900046244,,,,,,,,,8.059932800009847,9.056878299918026,11.055251899873838,11.07760259998031,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
perseverance,long,0,3,3,1,,,,,11.07760259998031,,,,,,,,,11.05667409999296,12.068765199976042,14.065449099987745,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
transformation,long,0,4,4,5,,,,,14.08188629988581,,,,,,,,,14.06604849989526,15.06378209986724,17.061005200026557,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
smile,short,0,5,5,4,,,,,17.077385799959302,,,,,,,,,17.06215799995698,18.058981399983168,20.057576299877837,20.073156099999323,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
constellation,long,0,6,6,7,,,,,20.073156099999323,,,,,,,,,20.05919219995849,21.070950099965557,23.06798189994879,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
sun,short,0,7,7,8,,,,,23.084358799969777,,,,,,,,,23.068913700059056,24.066033100010827,26.06309359986335,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
tree,short,0,8,8,16,,,,,26.079340199939907,,,,,,,,,26.064049599925056,27.061148599954322,29.058386099990457,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
book,short,0,9,9,6,,,,,29.074473599903286,,,,,,,,,29.059338999912143,30.056494599906728,32.05467289988883,32.06986289983615,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
imagination,long,0,10,10,19,,,,,32.06986289983615,,,,,,,,,32.05562809994444,33.068277299869806,35.065223400015384,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
exploration,long,0,11,11,9,,,,,35.084542099852115,,,,,,,,,35.06605500006117,36.06328279990703,38.06047170003876,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
collaboration,long,0,12,12,11,,,,,38.07683979999274,,,,,,,,,38.061849399935454,39.05864619999193,41.05694329994731,41.07202049996704,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
flame,short,0,13,13,2,,,,,41.07202049996704,,,,,,,,,41.05790050001815,42.0704011998605,44.0675973999314,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
moon,short,0,14,14,12,,,,,44.08394639985636,,,,,,,,,44.06852960004471,45.065702700056136,47.0627198999282,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
light,short,0,15,15,14,,,,,47.079122399911284,,,,,,,,,47.063850899925455,48.06075369985774,50.05801669997163,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
rain,short,0,16,16,0,,,,,50.074250099947676,,,,,,,,,50.0590508999303,51.05607259995304,53.05428189993836,53.07101089996286,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
anticipation,long,0,17,17,15,,,,,53.07101089996286,,,,,,,,,53.05524759995751,54.067806999897584,56.065108799841255,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
cloud,short,0,18,18,10,,,,,56.081070399843156,,,,,,,,,56.06607149983756,57.06293679983355,59.06026239995845,,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
melancholy,long,0,19,19,13,,,,,59.07625919999555,,,,,,,,,59.061269799945876,60.05814639991149,62.056668899953365,62.10165359987877,,,,,,,,,,,,,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,0,0,0,0,62.10165359987877,,,,,,,,,,,,,62.05959239997901,62.10165359987877,63.07005640002899,66.07168299984187,67.08316519996151,69.08487210003659,sun,['right'],0,[6.963129999814555],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,1,0,1,0,69.0952432998456,,,,,,,,,,,,,69.08852269989438,69.0952432998456,70.09234259999357,73.10497329989448,74.12253970000893,80.51652439986356,responsibility,['right'],0,[11.415852800011635],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,2,0,2,0,80.52818649983965,,,,,,,,,,,,,80.51957180001773,80.52818649983965,81.52391909994185,84.5354068998713,85.53815519995987,87.76825269986875,stone,['right'],0,[7.235105999978259],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,3,0,3,0,87.78003979986534,,,,,,,,,,,,,87.76941589987837,87.78003979986534,88.77885099989362,91.78792439983226,92.79634279990569,95.72881589992903,book,['right'],0,[7.927847699960694],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,4,0,4,0,95.73928910004906,,,,,,,,,,,,,95.73221909999847,95.73928910004906,96.73254520003684,99.75880740000866,100.74066170002334,102.1241369000636,tree,['right'],0,[6.377736100228503],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,5,0,5,0,102.13540789997205,,,,,,,,,,,,,102.1273807999678,102.13540789997205,103.139254800044,106.16346889990382,107.16092169983312,110.85553939989768,cloud,['right'],0,[8.710372400004417],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,6,0,6,0,110.86769289989024,,,,,,,,,,,,,110.85962789994664,110.86769289989024,111.85854549985379,114.87289189989679,115.8954447999131,124.22654139995575,imagination,['right'],0,[13.346516099991277],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,7,0,7,0,124.23799239983782,,,,,,,,,,,,,124.22839589999057,124.23799239983782,125.23711839993484,128.24877289985307,129.26490509998985,129.29394629993476,,['right'],0,[5.047712899977341],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,8,0,8,0,129.30588010000065,,,,,,,,,,,,,129.29731959989294,129.30588010000065,130.31215399992652,133.310514499899,134.3124428000301,136.73443069984205,flame,['right'],0,[7.415884200017899],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,9,0,9,0,136.74443279998377,,,,,,,,,,,,,136.73773909988813,136.74443279998377,137.7501504998654,140.7585769998841,141.74634529999457,142.61392019991763,smile,['right'],0,[5.860345300054178],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,10,0,10,0,142.62501759990118,,,,,,,,,,,,,142.61579640000127,142.62501759990118,143.62346469983459,146.65376150002703,147.6207798998803,148.30460969987325,rain,['right'],0,[5.666977100074291],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,11,0,11,0,148.31601749989204,,,,,,,,,,,,,148.306603099918,148.31601749989204,149.31489329994656,152.32510989997536,153.32255749986507,156.78658670000732,exploration,['right'],0,[8.45233069988899],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,12,0,12,0,156.7965746000409,,,,,,,,,,,,,156.78959719999693,156.7965746000409,157.80135610001162,160.81041070003994,161.81125579983927,168.38348739990033,book,['right'],0,[11.569160700077191],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,13,0,13,0,168.39362900005654,,,,,,,,,,,,,168.38649169984274,168.39362900005654,169.39930699998513,172.41084180003963,173.40278579993173,174.76878969999962,,['right'],0,[6.367354099871591],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,14,0,14,0,174.78090250003152,,,,,,,,,,,,,174.77268549986184,174.78090250003152,175.7724035999272,178.80517659988254,179.7829619999975,183.0756222999189,constellation,['right'],0,[8.278335300041363],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,15,0,15,0,183.0853506999556,,,,,,,,,,,,,183.07868569996208,183.0853506999556,184.09234420000575,,,186.6419611000456,,['right'],0,[3.551736199995503],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,16,0,16,0,186.65457560005598,,,,,,,,,,,,,186.64491320005618,186.65457560005598,187.6534365999978,,,188.30615059984848,,['right'],0,[1.6324360999278724],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,17,0,17,0,188.31983929988928,,,,,,,,,,,,,188.31124809989706,188.31983929988928,189.31744709983468,,,189.67103990004398,,['right'],0,[1.347408700035885],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,18,0,18,0,189.683083999902,,,,,,,,,,,,,189.67413189983927,189.683083999902,190.68140869983472,193.68958260002546,194.6906530999113,198.14210579986684,anticipation,['right'],0,[8.44925480009988],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,19,0,19,0,198.15266519994475,,,,,,,,,,,,,198.14479439985007,198.15266519994475,199.151461499976,202.1575927999802,203.17025969992392,208.85711049987003,rain,['right'],0,[10.69080980005674],[None],,,01,001,2024-11-26_18h48.17.758,experiment psycho,2024.1.5,None,2024-11-26 18h48.33.408815 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.85945599991828,208.87207269994542,,,,,,,,
